"ID";"global_id";"FullName";"ShortName";"INN";"OKPO";"AdmArea";"District";"Address";"Category";"Specialization";"OKVED";"OKVED_Description";"geoData";
"11";"169195899";"Общество с ограниченной ответственностью «МПЗ «Рублевский»";"ООО «МПЗ «Рублевский»";"7731176387";"56628803";"Западный административный округ";"Можайский район";"улица Горбунова, дом 4, строение 3";"Пищевая промышленность";"Пищевая";"10.13";"Производство продукции из мяса убойных животных и мяса птицы";"{type=Point, coordinates=[37.389665599, 55.723660032]}";
"12";"169195900";"Закрытое акционерное общество «МИКОЯНОВСКИЙ МЯСОКОМБИНАТ»";"ЗАО «МИКОЯНОВСКИЙ МЯСОКОМБИНАТ»";"7722169626";"51032326";"Юго-Восточный административный округ";"Нижегородский район";"улица Талалихина, дом 41, строение 14";"Пищевая промышленность";"Пищевая";"10.11";"Переработка и консервирование мяса";"{type=Point, coordinates=[37.683403148, 55.72866795]}";
"13";"169195901";"Общество с ограниченной ответственностью «Снежана+Д»";"ООО «Снежана+Д»";"7728201548";"16769627";"Юго-Западный административный округ";"район Коньково";"улица Бутлерова, дом 15";"Пищевая промышленность";"Пищевая";"10.13";"Производство продукции из мяса убойных животных и мяса птицы";"{type=Point, coordinates=[37.536782686, 55.64979321]}";
"14";"169195902";"Акционерное общество «МЕРИДИАН»";"АО «МЕРИДИАН»";"7713016180";"11440376";"Северный административный округ";"район Западное Дегунино";"Ижорская улица, дом 7";"Пищевая промышленность";"Пищевая";"10.20";"Переработка и консервирование рыбы, ракообразных и моллюсков";"{type=Point, coordinates=[37.500831396, 55.887511408]}";
"15";"169195903";"Общество с ограниченной ответственностью «Русский рыбный мир»";"ООО»Русский рыбный мир»";"5074018058";"53894718";"Троицкий административный округ";"поселение Щаповское";"посёлок Курилово, Центральная улица, дом 15";"Пищевая промышленность";"Пищевая";"10.20";"Переработка и консервирование рыбы, ракообразных и моллюсков";"{type=Point, coordinates=[37.376140488, 55.376433672]}";
"16";"169195904";"Открытое акционерное общество «Останкинский молочный комбинат»";"ОАО «ОМК»";"7715087436";"5331552";"Северо-Восточный административный округ";"Бутырский район";"улица Руставели, дом 14, строение 1";"Пищевая промышленность";"Пищевая";"10.51";"Производство молока (кроме сырого) и молочной продукции";"{type=Point, coordinates=[37.595295647, 55.812335609]}";
"17";"169195905";"АКЦИОНЕРНОЕ ОБЩЕСТВО «ВИММ-БИЛЛЬ-ДАНН»";"АО «ВБД»";"7713085659";"5268977";"Северный административный округ";"район Восточное Дегунино";"Дмитровское шоссе, дом 108";"Пищевая промышленность";"Пищевая";"10.51";"Производство молока (кроме сырого) и молочной продукции";"{type=Point, coordinates=[37.54495086, 55.885288191]}";
"18";"169195906";"Открытое акционерное общество «КАРАТ»";"ОАО «КАРАТ»";"7736042394";"27562252";"Северо-Восточный административный округ";"Бутырский район";"улица Руставели, дом 14, строение 11";"Пищевая промышленность";"Пищевая";"10.51";"Производство молока (кроме сырого) и молочной продукции";"{type=Point, coordinates=[37.600575476, 55.813467373]}";
"19";"169195907";"Общество с ограниченной ответственностью «АЛЬТЕРВЕСТ XXI ВЕК»";"ООО «АЛЬТЕРВЕСТ XXI ВЕК»";"5030040240";"56870500";"Троицкий административный округ";"поселение Первомайское";"посёлок Первомайское, деревня Губцево, улица Дорожная, дом 1";"Пищевая промышленность";"Пищевая";"10.52";"Производство мороженого";"{type=Point, coordinates=[37.161307995, 55.530947193]}";
"20";"169195908";"Акционерное общество «БРПИ»";"АО «БРПИ»";"7715057618";"3203689";"Северо-Восточный административный округ";"Бутырский район";"Огородный проезд, дом 16, строение 22";"Пищевая промышленность";"Пищевая";"10.52";"Производство мороженого";"{type=Point, coordinates=[37.600161863, 55.815730375]}";
"21";"169195909";"Открытое акционерное общество «Мелькомбинат в Сокольниках»";"ОАО «Мелькомбинат в Сокольниках»";"7718018279";"5079029";"Восточный административный округ";"район Сокольники";"улица Жебрунова, дом 6, строение 1";"Пищевая промышленность";"Пищевая";"10.61.2";"Производство муки из зерновых культур";"{type=Point, coordinates=[37.682209228, 55.784219323]}";
"22";"169195910";"Акционерное общество «МЕЛЬКОМБИНАТ №3»";"АО «МЕЛЬКОМБИНАТ №3»";"7714015735";"16981342";"Северный административный округ";"Хорошёвский район";"1-я Магистральная улица, дом 14, строение 1";"Пищевая промышленность";"Пищевая";"10.61.2";"Производство муки из зерновых культур";"{type=Point, coordinates=[37.522645016, 55.770307676]}";
"23";"169195911";"Общество с ограниченной ответственностью «ПО АРС»";"ООО «ПО АРС»";"5035020695";"56823883";"Восточный административный округ";"район Перово";"Электродная улица, дом 10";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"{type=Point, coordinates=[37.754383793, 55.751141025]}";
"24";"169195912";"Открытое акционерное общество «Золоторожский хлеб»";"ОАО «Золоторожский хлеб»";"7722020143";"346052";"Юго-Восточный административный округ";"район Лефортово";"улица Золоторожский Вал, дом 6";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"{type=Point, coordinates=[37.68751384, 55.753076142]}";
"25";"169195913";"Закрытое акционерное общество «ХЛЕБОЗАВОД № 22»";"ЗАО «ХЛЕБОЗАВОД № 22»";"7731014604";"346170";"Западный административный округ";"район Кунцево";"улица Академика Павлова, дом 4";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"{type=Point, coordinates=[37.39342876, 55.737258799]}";
"26";"169195914";"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО «ОСТАНКИНСКИЙ ЗАВОД БАРАНОЧНЫХ ИЗДЕЛИЙ»";"ЗАО «ОЗБИ»";"7715087411";"346201";"Северо-Восточный административный округ";"Бутырский район";"Огородный проезд, дом 11";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"{type=Point, coordinates=[37.602701007, 55.812272133]}";
"27";"169195915";"Открытое акционерное общество «МОСКВОРЕЧЬЕ»";"ОАО «МОСКВОРЕЧЬЕ»";"7725037650";"346230";"Южный административный округ";"Даниловский район";"2-й Павелецкий проезд, дом 7";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"{type=Point, coordinates=[37.642878727, 55.712733588]}";
"28";"169195916";"Закрытое акционерное общество «Хлебозавод № 24»";"ЗАО « Хлебозавод № 24»";"7712022825";"1218638";"Северный административный округ";"район Сокол";"Светлый проезд, дом 2";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"{type=Point, coordinates=[37.489375037, 55.811864544]}";
"29";"169195917";"Открытое акционерное общество «ЧЕРКИЗОВО»";"ОАО «ЧЕРКИЗОВО»";"7718018230";"346247";"Восточный административный округ";"район Преображенское";"Большая Черкизовская улица, дом 32Б";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"{type=Point, coordinates=[37.741569912, 55.794473027]}";
"30";"169195918";"Открытое акционерное общество «ХЛЕБОКОМБИНАТ «ПРОЛЕТАРЕЦ»";"ОАО «ХЛЕБОКОМБИНАТ «ПРОЛЕТАРЕЦ»";"7723001680";"346268";"Юго-Восточный административный округ";"Южнопортовый район";"Новоостаповская улица, дом 12";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"{type=Point, coordinates=[37.670467781, 55.717742939]}";
"31";"169195919";"Открытое акционерное общество «КБК «ЧЕРЕМУШКИ»";"ОАО «КБК «ЧЕРЕМУШКИ»";"7728060368";"346075";"Юго-Западный административный округ";"район Черёмушки";"улица Намёткина, дом 10А, строение 1";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"{type=Point, coordinates=[37.549036331, 55.659980827]}";
"32";"169195920";"Закрытое акционерное общество «Хлебозавод N18»";"ЗАО «Хлебозавод N18»";"7714008150";"17508576";"Северный административный округ";"район Аэропорт";"Часовая улица, дом 6, корпус 3, строение 3";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"{type=Point, coordinates=[37.536137265, 55.80872544]}";
"34";"169195922";"Открытое акционерное общество «ЯУЗА-ХЛЕБ»";"ОАО «ЯУЗА-ХЛЕБ»";"7716011052";"29499871";"Северо-Восточный административный округ";"район Ростокино";"проспект Мира, дом 220А";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"{type=Point, coordinates=[37.664843805, 55.839390615]}";
"35";"169195923";"Акционерное общество «ХЛЕБОЗАВОД №28»";"АО «ХЛЕБОЗАВОД №28»";"7735004068";"337722";"Зеленоградский административный округ";"район Силино";"город Зеленоград, 3-й Западный проезд, дом 12";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"{type=Point, coordinates=[37.162639548, 56.013123883]}";
"36";"169195924";"Общество с ограниченной ответственностью «ФИЛИ-БЕЙКЕР»";"ООО «ФИЛИ-БЕЙКЕР»";"7710209063";"18236097";"Западный административный округ";"район Филёвский Парк";"Береговой проезд, дом 4/6, строение 4";"Пищевая промышленность";"Пищевая";"10.8";"Производство прочих пищевых продуктов";"{type=Point, coordinates=[37.506024132, 55.756812898]}";
"37";"169195925";"Закрытое акционерное общество БКК «Коломенский»";"ЗАО БКК «Коломенский»";"7724766868";"68861009";"Южный административный округ";"район Нагатино-Садовники";"Хлебозаводский проезд, дом 7";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"{type=Point, coordinates=[37.631578149, 55.669332564]}";
"38";"169195926";"Закрытое акционерное общество «ХЛЕБОКОМБИНАТ «ПЕКО»";"ЗАО «ХЛЕБОКОМБИНАТ «ПЕКО»";"7715112530";"5109322";"Северо-Восточный административный округ";"район Северное Медведково";"Полярная улица, дом 29, строение 1";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"{type=Point, coordinates=[37.641368452, 55.885089461]}";
"40";"169195928";"Закрытое акционерное общество «КМКИ «Добрынинский»";"ЗАО «КМКИ «Добрынинский»";"7718681817";"84137980";"Восточный административный округ";"район Преображенское";"Электрозаводская улица, дом 27, строение 1";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"{type=Point, coordinates=[37.706897748, 55.790743419]}";
"41";"169195929";"Акционерное общество «ФАБРИКА «РУССКИЙ ШОКОЛАД»";"АО «ФАБРИКА «РУССКИЙ ШОКОЛАД»";"7710664778";"99608356";"Западный административный округ";"Можайский район";"Верейская улица, дом 29, строение 143";"Пищевая промышленность";"Пищевая";"10.82";"Производство какао, шоколада и сахаристых кондитерских изделий";"{type=Point, coordinates=[37.434032645, 55.708037694]}";
"42";"169195930";"Открытое акционерное общество «КОНДИТЕРСКИЙ КОНЦЕРН БАБАЕВСКИЙ»";"ОАО «КОНДИТЕРСКИЙ КОНЦЕРН БАБАЕВСКИЙ»";"7708029391";"340658";"Центральный административный округ";"Красносельский район";"Малая Красносельская улица, дом 7, строение 2А";"Пищевая промышленность";"Пищевая";"10.82";"Производство какао, шоколада и сахаристых кондитерских изделий";"{type=Point, coordinates=[37.65642061, 55.787021666]}";
"43";"169195931";"Публичное акционерное общество «КРАСНЫЙ ОКТЯБРЬ»";"ПАО «КРАСНЫЙ ОКТЯБРЬ»";"7706043263";"340635";"Центральный административный округ";"район Якиманка";"Берсеневская набережная, дом 6";"Пищевая промышленность";"Пищевая";"10.82";"Производство какао, шоколада и сахаристых кондитерских изделий";"{type=Point, coordinates=[37.608839005, 55.74018108]}";
"44";"169195950";"Открытое акционерное общество «РОТ ФРОНТ»";"ОАО «РОТ ФРОНТ»";"7705033216";"340664";"Центральный административный округ";"район Замоскворечье";"2-й Новокузнецкий переулок, дом 13/15";"Пищевая промышленность";"Пищевая";"10.82";"Производство какао, шоколада и сахаристых кондитерских изделий";"{type=Point, coordinates=[37.631878862, 55.733975309]}";
"45";"169195951";"Акционерное общество «УДАРНИЦА»";"АО «УДАРНИЦА»";"7706042326";"340670";"Центральный административный округ";"район Якиманка";"улица Шаболовка, дом 13";"Пищевая промышленность";"Пищевая";"10.82";"Производство какао, шоколада и сахаристых кондитерских изделий";"{type=Point, coordinates=[37.612175799, 55.724850338]}";
"46";"169195952";"Открытое акционерное общество «ЭКСТРА М»";"ОАО «ЭКСТРА М»";"7718083616";"17613675";"Восточный административный округ";"район Сокольники";"3-я Рыбинская улица, дом 22, строение 1";"Пищевая промышленность";"Пищевая";"10.73.1";"Производство макаронных изделий";"{type=Point, coordinates=[37.660986281, 55.78937192]}";
"47";"169195953";"Публичное акционерное общество «РУССКИЙ ПРОДУКТ»";"ПАО «РУССКИЙ ПРОДУКТ»";"7718117872";"44418433";"Восточный административный округ";"район Метрогородок";"Пермская улица, дом 1, строение 1";"Пищевая промышленность";"Пищевая";"10.89";"Производство прочих пищевых продуктов, не включенных в другие группировки";"{type=Point, coordinates=[37.748432052, 55.820950595]}";
"49";"169195955";"Общество с ограниченной ответственностью «МЧФ»";"ООО «МЧФ»";"7722146516";"18406694";"Юго-Восточный административный округ";"район Лефортово";"ул. Боровая, д. 3";"Пищевая промышленность";"Пищевая";"10.83";"Производство чая и кофе";"{type=Point, coordinates=[37.712969857, 55.773493272]}";
"50";"169195956";"Общество с ограниченной ответственностью «КОМПАНИЯ СКИТ»";"ООО «КОМПАНИЯ СКИТ»";"7726223190";"44997247";"Южный административный округ";"район Царицыно";"Кавказский бульвар, дом 59, строение 2";"Пищевая промышленность";"Пищевая";"10.84";"Производство приправ и пряностей";"{type=Point, coordinates=[37.630113197, 55.627281383]}";
"51";"169195957";"Закрытое акционерное общество «ДЖЕКС»";"ЗАО «ДЖЕКС»";"7729064887";"29024398";"Юго-Восточный административный округ";"Нижегородский район";"1-я Фрезерная улица, дом 2/1, строение 10";"Пищевая промышленность";"Пищевая";"56.29";"Деятельность предприятий общественного питания по прочим видам организации питания";"{type=Point, coordinates=[37.738259196, 55.744020874]}";
"52";"169195958";"Общество с ограниченной ответственностью «ЛЕОВИТ НУТРИО»";"ООО «ЛЕОВИТ НУТРИО»";"7713204095";"49947596";"Северо-Восточный административный округ";"район Отрадное";"Поморская улица, дом 33";"Пищевая промышленность";"Пищевая";"10.85";"Производство готовых пищевых продуктов и блюд";"{type=Point, coordinates=[37.575929922, 55.869998286]}";
"53";"169195959";"Акционерное общество «МОСАЗЕРВИНЗАВОД»";"АО «МОСАЗЕРВИНЗАВОД»";"7701003490";"5109457";"Центральный административный округ";"Басманный район";"улица Макаренко, дом 10/20, строение 5";"Пищевая промышленность";"Пищевая";"11.01.1";"Производство дистиллированных питьевых алкогольных напитков: водки, виски, бренди, джина, ликеров и т. п.";"{type=Point, coordinates=[37.648389944, 55.761640093]}";
"54";"169195960";"Открытое акционерное общество «ОЗН»";"ОАО «ОЗН»";"7715094708";"341988";"Северо-Восточный административный округ";"Бутырский район";"улица Добролюбова, дом 8А, строение 1";"Пищевая промышленность";"Пищевая";"11.07";"Производство безалкогольных напитков; производство минеральных вод и прочих питьевых вод в бутылках";"{type=Point, coordinates=[37.598721425, 55.810613134]}";
"55";"169195961";"Акционерное общество «МВКЗ «КИН»";"АО «МВКЗ «КИН»";"7712024477";"5209957";"Северный административный округ";"район Левобережный";"Ленинградское шоссе, дом 67";"Пищевая промышленность";"Пищевая";"11.01.1";"Производство дистиллированных питьевых алкогольных напитков: водки, виски, бренди, джина, ликеров и т. п.";"{type=Point, coordinates=[37.459591148, 55.868332064]}";
"56";"169195962";"Открытое акционерное общество «МКШВ»";"ОАО «МКШВ»";"7729007350";"5324693";"Западный административный округ";"район Очаково-Матвеевское";"Рябиновая улица, дом 44";"Пищевая промышленность";"Пищевая";"11.02";"Производство вина из винограда";"{type=Point, coordinates=[37.43505657, 55.674545789]}";
"57";"169195963";"Закрытое акционерное общество МПБК «ОЧАКОВО»";"ЗАО МПБК «ОЧАКОВО»";"7729101200";"5230650";"Западный административный округ";"район Очаково-Матвеевское";"Рябиновая улица, дом 44";"Пищевая промышленность";"Пищевая";"11.05";"Производство пива";"{type=Point, coordinates=[37.43505657, 55.674545789]}";
"58";"169195964";"Общество с ограниченной ответственностью «КОКА-КОЛА ЭЙЧБИСИ ЕВРАЗИЯ» ФЛ Г МОСКВА";"ООО «КОКА-КОЛА ЭЙЧБИСИ ЕВРАЗИЯ» ФЛ Г МОСКВА";"7701215046";"58662125";"Западный административный округ";"район Ново-Переделкино";"Новоорловская улица, дом 7";"Пищевая промышленность";"Пищевая";"11.07.2";"Производство безалкогольных напитков ароматизированных и/или с добавлением сахара, кроме минеральных вод";"{type=Point, coordinates=[37.36300547, 55.633206028]}";
"60";"169195966";"Акционерное общество «Троицкая камвольная фабрика»";"АО «Троицкая камвольная фабрика»";"5046005770";"322092";"Троицкий административный округ";"поселение Троицк";"город Троицк, Фабричная площадь, дом 1";"Легкая промышленность";"Текстильная";"13.10.3";"Прядение гребенное шерстяных волокон";"{type=Point, coordinates=[37.301634839, 55.490066486]}";
"61";"169195967";"Открытое акционерное общество «МШФ»";"ОАО «МШФ»";"7719034650";"320609";"Восточный административный округ";"район Соколиная Гора";"Малая Семёновская улица, дом 28";"Легкая промышленность";"Текстильная";"13.10.3";"Прядение гребенное шерстяных волокон";"{type=Point, coordinates=[37.715843604, 55.784960189]}";
"63";"169195969";"Акционерное общество «ФОРТ ТЕХНОЛОГИЯ»";"АО «ФОРТ ТЕХНОЛОГИЯ»";"7710060720";"29928332";"Южный административный округ";"Донской район";"Варшавское шоссе, дом 1";"Легкая промышленность";"Текстильная";"13.92";"Производство готовых текстильных изделий, кроме одежды";"{type=Point, coordinates=[37.623348266, 55.70312064]}";
"64";"169195970";"ООО ""Нетканые материалы""";"ЗАО «РЕГЕНТ НМ»";"7751017353";"54788148";"Троицкий административный округ";"поселение Роговское";"142191, г Москва, г Троицк, 
ул Нагорная, 5 ";"Легкая промышленность";"Текстильная";"13.95";"Производство нетканых текстильных материалов и изделий из них, кроме одежды";"{type=Point, coordinates=[37.070533654, 55.211995398]}";
"65";"169195971";"Общество с ограниченной ответственностью «Термопол»";"ООО «Термопол»";"7729505595";"72922610";"Западный административный округ";"район Очаково-Матвеевское";"Рябиновая улица, дом 43А";"Легкая промышленность";"Текстильная";"13.95";"Производство нетканых текстильных материалов и изделий из них, кроме одежды";"{type=Point, coordinates=[37.425309462, 55.69998066]}";
"66";"169195972";"Государственное унитарное предприятие «КОФ»";"ГУП «КОФ»";"7709087036";"5137212";"Центральный административный округ";"Таганский район";"Тессинский переулок, дом 5, строение 1";"Легкая промышленность";"Текстильная";"13.99.1";"Производство кружевного сетчатого и гардинно-тюлевого полотна, а также кружев и вышитых изделий, в кусках, в форме полос или отдельных вышивок";"{type=Point, coordinates=[37.650815341, 55.750627899]}";
"67";"169195973";"Общество с ограниченной ответственностью «ОКРУГ»";"ООО «ОКРУГ»";"7703003336";"29472122";"Северо-Западный административный округ";"район Северное Тушино";"Планерная улица, дом 22, корпус 2";"Легкая промышленность";"Текстильная";"14.12";"Производство спецодежды";"{type=Point, coordinates=[37.440802655, 55.867726676]}";
"68";"169195975";"Закрытое акционерное общество «НПО «ДИНАФОРС»";"ЗАО «НПО «ДИНАФОРС»";"7714657757";"42219617";"Северный административный округ";"Савёловский район";"Старый Петровско-Разумовский проезд, дом 1/23";"Легкая промышленность";"Текстильная";"14.12";"Производство спецодежды";"{type=Point, coordinates=[37.563587977, 55.800779832]}";
"70";"169195977";"АКЦИОНЕРНОЕ ОБЩЕСТВО
«БОЛЬШЕВИЧКА»";"АО «БОЛЬШЕВИЧКА»";"7708029923";"302824";"Центральный административный округ";"Красносельский район";"107078, город Москва, улица Каланчевска, дом 17";"Легкая промышленность";"Текстильная";"14.13";"Производство прочей верхней одежды";"{type=Point, coordinates=[37.652220531723, 55.773359042281]}";
"72";"169195980";"Открытое акционерное общество «СТАРТ»";"ОАО «СТАРТ»";"7719046624";"302793";"Восточный административный округ";"район Соколиная Гора";"Вельяминовская улица, дом 9";"Легкая промышленность";"Текстильная";"14.13";"Производство прочей верхней одежды";"{type=Point, coordinates=[37.721641334, 55.784805295]}";
"73";"169196333";"Общество с ограниченной ответственностью «ШВЕЙНАЯ ФИРМА «КОСМОС»";"ШВЕЙНАЯ ФИРМА «КОСМОС» ООО";"7711000995";"2816094";"Северный административный округ";"район Западное Дегунино";"Дмитровское шоссе, дом 79";"Легкая промышленность";"Текстильная";"14.13.2";"Производство верхней одежды из текстильных материалов, кроме трикотажных или вязаных";"{type=Point, coordinates=[37.552663754, 55.860317845]}";
"74";"169195982";"Общество с ограниченной ответственностью «Тримонти»";"ООО «Тримонти»";"7714243347";"58193073";"Северный административный округ";"район Беговой";"ул. Ямского Поля 3-я, д. 17/19 2";"Легкая промышленность";"Текстильная";"13.92";"Производство готовых текстильных изделий, кроме одежды";"{type=Point, coordinates=[37.578255273, 55.782901305]}";
"75";"169195983";"Закрытое акционерное общество «КРАСНАЯ ЗАРЯ»";"ЗАО «КРАСНАЯ ЗАРЯ»";"7719035252";"321649";"Восточный административный округ";"район Соколиная Гора";"Малая Семёновская улица, дом 30";"Легкая промышленность";"Текстильная";"14.14.1";"Производство трикотажного и вязаного нательного белья";"{type=Point, coordinates=[37.717104138, 55.785193628]}";
"76";"169195985";"Закрытое акционерное общество Фирма «ЧЕРЕМУШКИ»";"ЗАО Фирма «ЧЕРЕМУШКИ»";"7727081943";"302787";"Юго-Западный административный округ";"район Котловка";"Нахимовский проспект, дом 26";"Легкая промышленность";"Текстильная";"14.14.2";"Производство нательного белья из тканей";"{type=Point, coordinates=[37.579866266, 55.67281389]}";
"77";"169195986";"Общество с ограниченной ответственностью «Серебряная нить Лтд»";"ООО «Серебряная нить Лтд»";"7736168950";"46792236";"Северо-Восточный административный округ";"район Лианозово";"Новгородская улица, дом 38";"Легкая промышленность";"Текстильная";"18.24.12";"18.24.12 Производство трикотажных спортивных костюмов, лыжных костюмов, купальников и прочей трикотажной одежды";"{type=Point, coordinates=[37.580731501628, 55.905403403216]}";
"80";"169195990";"Закрытое акционерное общество «МЕДВЕДКОВО»";"ЗАО «МЕДВЕДКОВО»";"7715081064";"303580";"Северо-Восточный административный округ";"район Северное Медведково";"Полярная улица, дом 33";"Легкая промышленность";"Текстильная";"15.12";"Производство чемоданов, дамских сумок и аналогичных изделий из кожи и других материалов; производство шорно-седельных и других изделий из кожи";"{type=Point, coordinates=[37.643054315, 55.888722061]}";
"81";"169195991";"Закрытое акционерное общество «РАЛЬФ РИНГЕР»";"ЗАО «РАЛЬФ РИНГЕР»";"7718160370";"53788809";"Северо-Восточный административный округ";"Бутырский район";"улица Добролюбова, дом 2, строение 2";"Легкая промышленность";"Текстильная";"15.20";"Производство обуви";"{type=Point, coordinates=[37.598754795, 55.808118406]}";
"82";"169195993";"Общество с ограниченной ответственностью «Гришко»";"ООО «Гришко»";"7705021669";"41089905";"Юго-Восточный административный округ";"район Лефортово";"проезд Завода Серп и Молот, дом 2, корпус 4";"Легкая промышленность";"Текстильная";"15.20";"Производство обуви";"{type=Point, coordinates=[37.695480062, 55.75503149]}";
