"ID";"LibraryName";"AdmArea";"District";"Address";"NumberOfAccessPoints";"WiFiName";"CoverageArea";"FunctionFlag";"AccessFlag";"Password";"Latitude_WGS84";"Longitude_WGS84";"global_id";"geodata_center";"geoarea";
"31";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЗАО» Детская библиотека №206 имени Ивана Егоровича Забелина";"Западный административный округ";"район Фили-Давыдково";"город Москва, Кременчугская улица, дом 6, корпус 1";"9";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.723795";"37.460241";"880036066";"0101000000A1A3552DE9BA424011018750A5DC4B40";"";
"75";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЦАО» Библиотека №3 имени Николая Александровича Добролюбова";"Центральный административный округ";"район Арбат";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, улица Новый Арбат, дом 30/9";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.752891";"37.582179";"880036067";"010100000080B56AD784CA4240F33977BB5EE04B40";"";
"32";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЗАО» Библиотека №209 имени Алексея Николаевича Толстого";"Западный административный округ";"район Дорогомилово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, Кутузовский проспект, дом 24";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.744526";"37.545267";"880036068";"0101000000454B1E4FCBC54240C782C2A04CDF4B40";"";
"76";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮЗАО» Библиотека №188";"Юго-Западный административный округ";"Обручевский район";"город Москва, улица Обручева, дом 24";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.657321";"37.518282";"880036069";"0101000000800D881057C24240ADFC321823D44B40";"";
"33";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮАО» Библиотека №166 имени 1 Мая";"Южный административный округ";"Донской район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Донской, Ленинский проспект, дом 37А";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.708587";"37.586670";"880036070";"0101000000ACC5A70018CB424075AF93FAB2DA4B40";"";
"77";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮЗАО» Библиотека №191";"Юго-Западный административный округ";"район Черёмушки";"город Москва, улица Обручева, дом 51";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.651374";"37.559290";"880036071";"01010000006B7D91D096C742407BBB253960D34B40";"";
"34";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЦАО» Библиотека №18 имени Василия Андреевича Жуковского";"Центральный административный округ";"Басманный район";"город Москва, Лялин переулок, дом 24-26, строение 2";"8";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.756812";"37.653164";"880036072";"01010000005776C1E09AD34240349C3237DFE04B40";"";
"78";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система СЗАО» Библиотека №240";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"город Москва, улица Паршина, дом 33";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.788793";"37.455534";"880036073";"0101000000A81B28F04EBA42402828452BF7E44B40";"";
"35";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮАО» Библиотека №151";"Южный административный округ";"район Чертаново Северное";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Северное, микрорайон Северное Чертаново, дом 2, корпус 207";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.639329";"37.601034";"880036074";"01010000005CE49EAEEECC424033315D88D5D14B40";"";
"79";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮВАО» Библиотека №129";"Юго-Восточный административный округ";"район Марьино";"город Москва, улица Перерва, дом 56/2";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.657845";"37.747729";"880036076";"0101000000A9A27895B5DF4240276BD44334D44B40";"";
"36";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система САО» Центральная детская библиотека №46 имени Ивана Захаровича Сурикова";"Северный административный округ";"район Коптево";"город Москва, Михалковская улица, дом 15";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.839537";"37.526304";"880036077";"010100000083E0F1ED5DC342401764CBF275EB4B40";"";
"80";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮЗАО» Библиотека №175";"Юго-Западный административный округ";"район Котловка";"город Москва, улица Ремизова, дом 10";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.676220";"37.600657";"880036078";"0101000000868E1D54E2CC4240587380608ED64B40";"";
"37";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЗАО» Библиотека №216";"Западный административный округ";"район Раменки";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, Мичуринский проспект, дом 54А";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.693906";"37.490578";"880036079";"01010000008C118942CBBE4240C43F6CE9D1D84B40";"";
"81";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система СЗАО» Библиотека №231 имени Николая Алексеевича Островского";"Северо-Западный административный округ";"район Южное Тушино";"город Москва, улица Свободы, дом 45, строение 1";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.846234";"37.453199";"880036080";"01010000003ACAC16C02BA4240B3614D6551EC4B40";"";
"82";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система САО» Библиотека №32";"Северный административный округ";"район Аэропорт";"город Москва, улица Степана Супруна, дом 12, корпус 3";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.797468";"37.545536";"880036082";"01010000003465A71FD4C54240A3CD716E13E64B40";"";
"39";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮВАО» Библиотека №116";"Юго-Восточный административный округ";"Нижегородский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нижегородский, Нижегородская улица, дом 70, корпус 1";"8";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.733452";"37.709147";"880036083";"01010000003C873254C5DA4240C89750C1E1DD4B40";"";
"83";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮВАО» Библиотека №121";"Юго-Восточный административный округ";"Южнопортовый район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, улица Трофимова, дом 15";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.703155";"37.672792";"880036084";"010100000056815A0C1ED642406B82A8FB00DA4B40";"";
"84";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЗАО» Библиотека №215";"Западный административный округ";"район Проспект Вернадского";"город Москва, улица Удальцова, дом 26, корпус 1";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.681052";"37.494818";"880036086";"01010000006FBC3B3256BF42400D7041B62CD74B40";"";
"41";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЗАО» Библиотека №213 имени Леси Украинки";"Западный административный округ";"район Филёвский Парк";"город Москва, Новозаводская улица, дом 2, корпус 5";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.747338";"37.515757";"880036087";"01010000006FD74B5304C242406E8786C5A8DF4B40";"";
"85";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система САО» Библиотека №42 имени Андрея Платоновича Платонова";"Северный административный округ";"район Аэропорт";"город Москва, улица Усиевича, дом 16";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.806737";"37.524336";"880036088";"0101000000C70E2A711DC3424090BC732843E74B40";"";
"42";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система СВАО» Библиотека №50";"Северо-Восточный административный округ";"район Марьина Роща";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьина Роща, Октябрьская улица, дом 103, корпус 1";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.798546";"37.610889";"880036089";"01010000003A3E5A9C31CE4240022D5DC136E64B40";"";
"86";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮВАО» Библиотека №127";"Юго-Восточный административный округ";"район Текстильщики";"город Москва, улица Чистова, дом 15/15";"10";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.697275";"37.744900";"880036090";"01010000002C6519E258DF4240C1A8A44E40D94B40";"";
"43";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система САО» Библиотека №44 имени Владимира Галактионовича Короленко";"Северный административный округ";"Головинский район";"город Москва, Онежская улица, дом 17, корпус 4";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.851298";"37.517231";"880036091";"01010000001BBD1AA034C242403A933655F7EC4B40";"";
"87";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮАО» Библиотека №164 «Просвещение трудящихся»";"Южный административный округ";"Донской район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Донской, улица Шаболовка, дом 36";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.717543";"37.608005";"880036092";"0101000000F9669B1BD3CD4240A33CF372D8DB4B40";"";
"88";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮВАО» Библиотека №120";"Юго-Восточный административный округ";"район Лефортово";"город Москва, Ухтомская улица, дом 21";"11";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.767423";"37.715668";"880036098";"010100000099654F029BDB42405F99B7EA3AE24B40";"";
"89";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система САО» Библиотека №44 имени Владимира Галактионовича Короленко";"Северный административный округ";"Головинский район";"город Москва, Фестивальная улица, дом 46, корпус 1";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.862676";"37.512955";"880036099";"0101000000EBA86A82A8C14240A585CB2A6CEE4B40";"";
"90";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ВАО» Центральная библиотека №70 имени Михаила Александровича Шолохова";"Восточный административный округ";"район Преображенское";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Преображенское, Халтуринская улица, дом 18";"10";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.804810";"37.726313";"880036101";"01010000006FD40AD3F7DC424034BF9A0304E74B40";"";
"2";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЦАО» Библиотека №7 имени Антуана де СентЭкзюпери";"Центральный административный округ";"Красносельский район";"город Москва, 2-й Красносельский переулок, дом 2";"9";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.782253";"37.665093";"880036102";"010100000036E675C421D542405419C6DD20E44B40";"";
"91";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮЗАО» Библиотека №168";"Юго-Западный административный округ";"район Зюзино";"город Москва, Херсонская улица, дом 1";"8";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.649632";"37.576834";"880036103";"0101000000459C4EB2D5C94240B037312427D34B40";"";
"92";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система СЗАО» Центральная детская библиотека №226";"Северо-Западный административный округ";"район Северное Тушино";"город Москва, Химкинский бульвар, дом 16, корпус 1";"9";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.851965";"37.443030";"880036104";"0101000000CD920035B5B84240172B6A300DED4B40";"";
"3";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮАО» Библиотека №163";"Южный административный округ";"Даниловский район";"город Москва, 3-й Павловский переулок, дом 14";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.718344";"37.630149";"880036105";"0101000000B64DF1B8A8D0424090A339B2F2DB4B40";"";
"55";"Государственное бюджетное учреждение культуры города Москвы «Библиотека искусств имени Алексея Петровича Боголюбова»";"Центральный административный округ";"Тверской район";"город Москва, Сущёвская улица, дом 14";"21";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.781362";"37.602436";"880036106";"01010000006EF7729F1CCD4240282B86AB03E44B40";"";
"56";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система САО» Библиотека №23 имени Максима Горького";"Северный административный округ";"Тимирязевский район";"город Москва, Тимирязевская улица, дом 17, корпус 1";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.812408";"37.566728";"880036107";"01010000001EDD088B8AC842401F813FFCFCE74B40";"";
"4";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ВАО» Библиотека №87";"Восточный административный округ";"район Соколиная Гора";"город Москва, 9-я улица Соколиной Горы, дом 17";"10";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.773160";"37.736006";"880036108";"010100000074D4D17135DE4240A54929E8F6E24B40";"";
"57";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ВАО» Детская библиотека №103";"Восточный административный округ";"район Соколиная Гора";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Соколиная Гора, Ткацкая улица, дом 28/14";"8";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.786298";"37.733976";"880036109";"01010000004206F2ECF2DD42408274B169A5E44B40";"";
"5";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЗАО» Библиотека №210 Культурный центр Алесандра Трифоновича Твардовского";"Западный административный округ";"район Фили-Давыдково";"город Москва, Аминьевское шоссе, дом 24";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.715920";"37.452974";"880036110";"01010000001AF8510DFBB94240B2463D44A3DB4B40";"";
"58";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЦАО» Библиотека №12 имени Ивана Алексеевича Бунина";"Центральный административный округ";"Пресненский район";"город Москва, улица 1905 Года, дом 3";"9";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.758316";"37.557843";"880036111";"0101000000B9A6406667C742404B04AA7F10E14B40";"";
"6";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЦАО» Библиотека №20 имени Антона Антоновича Дельвига";"Центральный административный округ";"Басманный район";"город Москва, Аптекарский переулок, дом 8/2";"8";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.768115";"37.676244";"880036113";"0101000000E00ED4298FD642409548A29751E24B40";"";
"59";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система САО» Библиотека №28";"Северный административный округ";"район Сокол";"город Москва, улица Алабяна, дом 12, корпус 4";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.799957";"37.501735";"880036114";"010100000018213CDA38C04240679AB0FD64E64B40";"";
"7";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система СВАО» Библиотека №67";"Северо-Восточный административный округ";"Останкинский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Останкинский, Аргуновская улица, дом 14, строение 2";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.818316";"37.620905";"880036115";"01010000002176A6D079CF424093E52494BEE84B40";"";
"60";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЗАО» Библиотека №199 имени Эдуарда Георгиевича Багрицкого";"Западный административный округ";"Можайский район";"город Москва, улица Багрицкого, дом 51";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.719445";"37.437748";"880036116";"0101000000D8F15F2008B84240A72215C616DC4B40";"";
"8";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮАО» Библиотека №148 имени Федора Ивановича Тютчева";"Южный административный округ";"Нагорный район";"город Москва, Артековская улица, дом 2, корпус 1";"9";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.650510";"37.612847";"880036117";"0101000000D2393FC571CE424048DC63E943D34B40";"";
"61";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ВАО» Библиотека №76 имени Михаила Юрьевича Лермонтова";"Восточный административный округ";"район Сокольники";"город Москва, улица Барболина, дом 6";"8";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.786516";"37.687848";"880036118";"01010000003C4F3C670BD84240EFE3688EACE44B40";"";
"62";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЦАО» Центральная детская библиотека №14";"Центральный административный округ";"район Замоскворечье";"город Москва, улица Бахрушина, дом 4, строение 1";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.736437";"37.634003";"880036119";"01010000006F48A30227D142403D484F9143DE4B40";"";
"9";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЦАО» Библиотека №1 имени Александра Сергеевича Грибоедова";"Центральный административный округ";"Мещанский район";"город Москва, Банный переулок, дом 4, строение 2";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.785675";"37.637811";"880036121";"0101000000B80375CAA3D14240742497FF90E44B40";"";
"63";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система СЗАО» Библиотека №245";"Северо-Западный административный округ";"район Щукино";"город Москва, улица Берзарина, дом 6, корпус 1";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.788323";"37.493192";"880036122";"01010000000D535BEA20BF4240A1D79FC4E7E44B40";"";
